title,watch_time,is_ad,raw_text,hour,day,date,time_category,category
Gated Recurrent Unit | GRU | Explained in detail,2026-05-31 10:54:04,False,"YouTube Watched Gated Recurrent Unit | GRU | Explained in detail Learn With Jay 31 May 2026, 10:54:04 IST Products: YouTube Why is this here? This activity was saved to your Google Account because the following settings were on: YouTube watch history. You can control these settings here .",10,Sunday,2026-05-31,Morning,Education
Gated Recurrent Unit | GRU | Explained in detail,2026-05-31 10:54:04,False,"Watched Gated Recurrent Unit | GRU | Explained in detail Learn With Jay 31 May 2026, 10:54:04 IST",10,Sunday,2026-05-31,Morning,Education
"Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras & Python)",2026-05-31 10:48:23,False,"YouTube Watched Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras & Python) codebasics 31 May 2026, 10:48:23 IST Products: YouTube Why is this here? This activity was saved to your Google Account because the following settings were on: YouTube watch history. You can control these settings here .",10,Sunday,2026-05-31,Morning,Education
"Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras & Python)",2026-05-31 10:48:23,False,"Watched Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras & Python) codebasics 31 May 2026, 10:48:23 IST",10,Sunday,2026-05-31,Morning,Education
Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow & Python),2026-05-31 10:45:07,False,"YouTube Watched Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow & Python) codebasics 31 May 2026, 10:45:07 IST Products: YouTube Why is this here? This activity was saved to your Google Account because the following settings were on: YouTube watch history. You can control these settings here .",10,Sunday,2026-05-31,Morning,Education
Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow & Python),2026-05-31 10:45:07,False,"Watched Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow & Python) codebasics 31 May 2026, 10:45:07 IST",10,Sunday,2026-05-31,Morning,Education
"Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python)",2026-05-31 10:39:20,False,"YouTube Watched Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python) codebasics 31 May 2026, 10:39:20 IST Products: YouTube Why is this here? This activity was saved to your Google Account because the following settings were on: YouTube watch history. You can control these settings here .",10,Sunday,2026-05-31,Morning,Education
"Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python)",2026-05-31 10:39:20,False,"Watched Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python) codebasics 31 May 2026, 10:39:20 IST",10,Sunday,2026-05-31,Morning,Education
OAI Task2 IND EN Food 16x9 6s,2026-05-30 14:12:50,True,"YouTube Watched OAI Task2 IND EN Food 16x9 6s 30 May 2026, 14:12:50 IST Products: YouTube Details: From Google Ads Why is this here? This activity was saved to your Google Account because the following settings were on: Web & App Activity, YouTube watch history. You can control these settings here .",14,Saturday,2026-05-30,Afternoon,Education
OAI Task2 IND EN Food 16x9 6s,2026-05-30 14:12:50,False,"Watched OAI Task2 IND EN Food 16x9 6s 30 May 2026, 14:12:50 IST",14,Saturday,2026-05-30,Afternoon,Education
Badminton singles basic rules (in and out).#sports  #badmintonindia#badminton,2026-05-29 18:38:58,False,"YouTube Watched Badminton singles basic rules (in and out).#sports  #badmintonindia#badminton badminton with advit 29 May 2026, 18:38:58 IST Products: YouTube Why is this here? This activity was saved to your Google Account because the following settings were on: YouTube watch history. You can control these settings here .",18,Friday,2026-05-29,Evening,Others
Badminton singles basic rules (in and out).#sports  #badmintonindia#badminton,2026-05-29 18:38:58,False,"Watched Badminton singles basic rules (in and out).#sports  #badmintonindia#badminton badminton with advit 29 May 2026, 18:38:58 IST",18,Friday,2026-05-29,Evening,Others
